"year_of_first_job","industry","school_graduated","sex","monthly_salary_unadjusted","cumulative_inflation","monthly_salary_adjusted","offer_negotiated","other_details"
2019,"Technology","Other universities","Female",17000,1.08,18360,"No","17000 basic salary, 16k net"
2018,"Other industries","N/A (Unspecified)","Not specified/Unclear",15000,1.136,17040,"No",""
2019,"Business Process Outsourcing","Ateneo System University","Female",18000,1.08,19440,"No",""
2016,"Government","Other universities","Female",9800,1.183,11593.4,"No","I was a contractual employee for a few months before being changed as a job order employee. Higher rates but with ZERo counterparts on any social benefits. No leave credits, no work-no pay status and no bonuses/13th month pay. "
2011,"Technology","Other universities","Male",19000,1.365,25935,"No",""
2013,"Other industries","Other universities","Female",13000,1.265,16445,"No",""
2013,"Manufacturing","Other universities","Female",18000,1.265,22770,"No",""
2017,"Media and Communication","University of the Philippines - Diliman","Female",12000,1.168,14016,"No","Rangeing from 12-13k yung first salary ko. Basically ~3k per week ako sa first job "
2014,"Retail","Other universities","Female",14000,1.234,17276,"No",""
2012,"Finance","De La Salle University - Manila","Female",23000,1.3014,29932.2,"No",""
2017,"Retail","Other universities","Female",15000,1.168,17520,"No","Worked part time"
2019,"Technology","University of the Philippines - Diliman","Male",25000,1.08,27000,"No","Apart from the indicated gross salary, I receive an allowance of around Php2,200 a month. Benefits already included from day 1."
2017,"Advertising","Other universities","Female",16000,1.168,18688,"No",""
2016,"Construction and Engineering","Other universities","Male",20000,1.183,23660,"No",""
2016,"Technology","Other universities","Female",10000,1.183,11830,"No","Startup tecg company."
2016,"Other industries","University of the Philippines - Diliman","Not specified/Unclear",25000,1.183,29575,"No",""
2019,"Law","Ateneo System University","Male",40000,1.08,43200,"No","I get free parking space and my lunch is free. Base salary does not include my profit share on monthly billables."
2015,"Healthcare","UP System University","Female",11000,1.191,13101,"No",""
2011,"Telecomumunications","Other universities","Not specified/Unclear",10000,1.365,13650,"No",""
2013,"Business Process Outsourcing","Other universities","Female",12000,1.265,15180,"No","I was an undergrad (2 yrs) from Mapúa when i applied for my first job"
2017,"Manufacturing","De La Salle University - Manila","Female",30000,1.168,35040,"No",""
2016,"Media and Communication","Ateneo de Manila University","Male",17000,1.183,20111,"No","My mindset was: ""As long as I get my first job!"" I had been out of college for 6 months and wanted to stop my ""gap year"" so I took an offer closest to my major - Communication. I turned down other offers like a management training program and a teaching post."
2019,"Finance","Ateneo de Manila University","Female",15000,1.08,16200,"Yes","I negotiated but they were adamant about the salary"
2018,"Non-Profit Organization","Polytechnic University of the Philippines - Manila","Female",14000,1.136,15904,"Yes","Their original offer was Php 13,000. This company is based in Makati. Imagine, these companies think that Php 13,000 minus SSS, Pag-Ibig, Philhealth contributions, is enough for our expenses.  I basically performed the tasks that three people should be doing, or more. This “minimum wage” idea is bullshit. The premise of a minimum wage is that it should be able to pay for someone’s rent, food, clothing, and still save some money. Bottomline is, ace the job interview and exams, and shut down every motherfucker who offers you less than what you deserve. :)"
2017,"Healthcare","Other universities","Female",60000,1.168,70080,"No",""
2018,"Hospitality","Other universities","Female",10472,1.136,11896.192,"No",""
2019,"Arts and Design","University of Santos Tomas","Female",16000,1.08,17280,"No","I did not negotiate because i didn't know how and what to negotiate?? I didn't know about the benefits, OT and/or holiday pay, etc to consider."
2019,"Government","University of the Philippines - Diliman","Male",30000,1.08,32400,"No",""
2018,"Arts and Design","N/A (Unspecified)","Not specified/Unclear",4000,1.136,4544,"Unspecified",""
2018,"Real Estate","Other universities","Male",22000,1.136,24992,"No",""
2019,"Academe & Education","Other universities","Male",12000,1.08,12960,"No","I was referred by someone already in the institution and was hired on the spot. The pay was 12k monthly excluding extra teaching loads (up to 9 units) but was later raised to 15k because of a recommendation to make us stay bc we might seek greener pastures."
2008,"Media and Communication","Ateneo de Manila University","Female",15000,1.599,23985,"No","A batchmate with a similar background as mine started with P18,000 for a similar position in the same company. We theorized the starting salary was based on the expected salaries we mentioned in our interviews, and probably could range up to P20,000 at the time.

The company also had an employee's union (a rarity in the industry) which valued tenure, so under the CBA, salaries of regularized employees increased by P2,000 every year. In one year, my salary increased to P17,000 even if I held the same position. "
2016,"Technology","FEU System University","Male",13500,1.183,15970.5,"No",""
2018,"Manufacturing","University of the Philippines - Diliman","Female",50000,1.136,56800,"No",""
2017,"Technology","Ateneo de Manila University","Male",25000,1.168,29200,"No",""
2011,"Non-Government Organization","University of the Philippines - Los Baños","Female",16000,1.365,21840,"No",""
2007,"Technology","De La Salle University - Manila","Male",12000,1.645,19740,"Yes","Always negotiate. got it increased to 18000 after regularization. succeeding jobs got an additional 2-5k per month from the initial offer after negotiating. doesn't hurt to ask."
2018,"Accounting","Polytechnic University of the Philippines - Manila","Female",16500,1.136,18744,"No",""
2019,"Manufacturing","University of the Philippines - Diliman","Male",30000,1.08,32400,"Yes","The salary is take home pay. The first offer was 25k. "
2018,"Law","Other universities","Male",18000,1.136,20448,"No","1. I am a gay male homosexual. 
2. I worked in a law firm. 
3. Php18,000.00 as my gross salary."
2015,"Accounting","Other universities","Male",15000,1.191,17865,"No",""
2017,"Hospitality","University of the Philippines - Diliman","Male",12800,1.168,14950.4,"No",""
2010,"Healthcare","UP System University","Male",12000,1.417,17004,"No","Badly needed a job. Non neg as per company"
2019,"Academe & Education","Other universities","Male",12000,1.08,12960,"No","I was referred by someone already in the institution and was hired on the spot. The pay was 12k monthly excluding extra teaching loads (up to 9 units) but was later raised to 15k because of a recommendation to make us stay bc we might seek greener pastures."
2018,"Research","N/A (Unspecified)","Not specified/Unclear",20000,1.136,22720,"Yes",""
2019,"Government","Ateneo de Manila University","Male",19750,1.08,21330,"No","Impromptu informal hiring as a job order employee"
2019,"Advertising","Ateneo de Manila University","Female",21000,1.08,22680,"Yes","Asking was 30k, but they only gave me 21k because I was a fresh grad despite having more than 4 years of experience in SEO"
2017,"Government","Polytechnic University of the Philippines - Manila","Male",19000,1.168,22192,"No",""
2018,"Food","University of the Philippines - Los Baños","Female",17000,1.136,19312,"No","I was underpaid and I was doing more jobs beyond what is written in my job description"
2017,"Food","Ateneo de Manila University","Not specified/Unclear",58000,1.168,67744,"No","Some local companies are changing their policies; they actually pay very well. "
2018,"Research","Other universities","Female",24000,1.136,27264,"No",""
2013,"Finance","N/A (Unspecified)","Female",15000,1.265,18975,"Yes",""
2017,"Telecomumunications","UP System University","Male",23000,1.168,26864,"No",""
2018,"Business Process Outsourcing","Other universities","Female",25000,1.136,28400,"No",""
2018,"Healthcare","University of Santos Tomas","Not specified/Unclear",13000,1.136,14768,"No",""
2019,"Arts and Design","Other universities","Not specified/Unclear",14000,1.08,15120,"Yes","Small company that consists of 6-7 employees (already includes employees for logistics, packing orders, customer service, delivery). Has maybe 10-15 people sewing the clothes and cutting the fabric. Brand is Laila & Lyra under RJL Jardenil Marketing. I'm still there."
2018,"Marketing","De La Salle University - Manila","Female",17000,1.136,19312,"Yes","I negotiated for an allowance in addition to the salary but that's all"
2015,"Advertising","Other universities","Female",30000,1.191,35730,"No","I worked for a US based company that's why my salary was very high for my first job"
2018,"Non-Government Organization","UP System University","Female",15000,1.136,17040,"No",""
2018,"Construction and Engineering","N/A (Unspecified)","Not specified/Unclear",23700,1.136,26923.2,"No",""
2018,"Government","N/A (Unspecified)","Female",21000,1.136,23856,"Yes",""
2019,"Technology","Other universities","Female",20000,1.08,21600,"Yes",""
2018,"Manufacturing","University of the Philippines - Diliman","Female",17000,1.136,19312,"Yes",""
2019,"Business Process Outsourcing","N/A (Unspecified)","Not specified/Unclear",15000,1.08,16200,"Unspecified",""
2017,"Government","University of the Philippines - Diliman","Female",19540,1.168,22822.72,"No","Contractual, daily pay of PhP977. No work, no pay scheme. The monthly salary above is computed on the assumption of rendering 20 days of work."
2017,"Government","University of the Philippines - Diliman","Female",19540,1.168,22822.72,"No","Contractual, daily pay of PhP977. No work, no pay scheme. The monthly salary above is computed on the assumption of rendering 20 days of work."
2014,"Finance","University of the Philippines - Los Baños","Female",21700,1.234,26777.8,"No",""
2014,"Healthcare","Other universities","Female",15000,1.234,18510,"No",""
2017,"Research","UP System University","Female",24000,1.168,28032,"No","They didn't let us negotiate this job offer. We were a new US subsidiary, but I found out people who had been working at this company for more than five years (in the Accounting Department pa) were receiving less than me. "
2018,"Other industries","Other universities","Female",22000,1.136,24992,"No",""
2019,"Business Process Outsourcing","N/A (Undergrad)","Female",18000,1.08,19440,"No",""
2018,"Research","University of the Philippines - Diliman","Female",22000,1.136,24992,"Yes",""
2015,"Arts and Design","Other universities","Female",22000,1.191,26202,"No",""
2017,"Media and Communication","Other universities","Male",16000,1.168,18688,"No","There was really no room for negotiation."
2015,"Advertising","Other universities","Male",18000,1.191,21438,"No",""
2019,"Advertising","University of the Philippines - Diliman","Female",17000,1.08,18360,"No","I work from home but have weekly meetings in BGC. 

I'm about to leave my job because the pay was not enough for the work I am doing. Work from home may seem like an ""easy option,"" but it's as emotionally and mentally tasking as 8-5s. A lot of it is because some bosses believe they have the right to bother these employees any time of any day. Ask for PROPER compensation and don't let yourself get lowballed. "
2019,"Real Estate","Other universities","Female",13000,1.08,14040,"Yes","They initially offered me 11k but I declined."
2018,"Hospitality","Polytechnic University of the Philippines - Manila","Female",18000,1.136,20448,"No",""
2016,"Advertising","Ateneo de Manila University","Male",20000,1.183,23660,"Yes",""
2018,"Academe & Education","Polytechnic University of the Philippines - Manila","Female",12000,1.136,13632,"No",""
2019,"Real Estate","University of the Philippines - Los Baños","Female",20000,1.08,21600,"No",""
2012,"Manufacturing","University of the Philippines - Diliman","Male",22000,1.3014,28630.8,"Yes",""
2017,"Retail","Polytechnic University of the Philippines - Manila","Female",18000,1.168,21024,"No",""
2016,"Academe & Education","Other universities","Female",5000,1.183,5915,"No",""
2017,"Technology","University of Santos Tomas","Female",27000,1.168,31536,"No","Inclusive of 5K for Allowances"
2019,"Media and Communication","De La Salle University - Manila","Female",18000,1.08,19440,"No",""
2019,"Business","Polytechnic University of the Philippines - Manila","Female",20000,1.08,21600,"No",""
2017,"Business Process Outsourcing","Other universities","Female",13000,1.168,15184,"No",""
2017,"Finance","Other universities","Female",20000,1.168,23360,"No",""
2018,"Architecture","Other universities","Male",25000,1.136,28400,"No","Good pay for an entry level job. Most will get at least 11,000 - 18,000 pay for my position on other companies. I was lucky enough to be employed with a very generous employer. But don't be fooled by how much you earn as the higher your pay, the greater your responsibilities are. "
2010,"Finance","Other universities","Female",16000,1.417,22672,"No",""
2016,"Human Relations","N/A (Unspecified)","Not specified/Unclear",16000,1.183,18928,"No",""
2018,"Consulting","Other universities","Female",24000,1.136,27264,"No",""
2019,"Logistics","University of the Philippines - Diliman","Female",27000,1.08,29160,"Yes",""
2016,"Advertising","Other universities","Female",15000,1.183,17745,"No",""
2019,"Finance","University of the Philippines - Diliman","Female",30000,1.08,32400,"No",""
2007,"Arts and Design","Other universities","Male",5000,1.645,8225,"No","Student worker but full time worker effort"
2010,"Human Relations","UP System University","Female",12000,1.417,17004,"No","As a fresh graduate, I felt like I was not in any position to impose how much salary I should be given. Also, I needed to get a job quickly so I grabbed the first offer I got."
2018,"Technology","Polytechnic University of the Philippines - Manila","Female",25000,1.136,28400,"Yes","When I told my employer with what is my expected salary, he told me that I shouldn’t expect with that kind of “high” salary since I am just a fresh graduate but I told him that I know my worth and I told him politely that they need me more than I need them (lol) "
2017,"Other industries","Other universities","Male",27500,1.168,32120,"No","Basic Pay + Overtime and Leave days as per contract. Bonuses can range from an additional $10 to $100 per month."
2018,"Finance","Polytechnic University of the Philippines - Manila","Not specified/Unclear",12200,1.136,13859.2,"Yes","I did negotiate for higher pay however, the interviewer insist that this is already the ceiling and cannot be adjuster"
2015,"Academe & Education","University of Santos Tomas","Male",10000,1.191,11910,"No","The salary was not discussed"
2019,"Business","University of the Philippines - Los Baños","Female",16500,1.08,17820,"Yes",""
2017,"Hospitality","Ateneo de Manila University","Female",23000,1.168,26864,"No","With additional commission scheme for the sales work. On average, 3k per month"
2019,"Technology","UP System University","Male",35000,1.08,37800,"No",""
2019,"Finance","UP System University","Male",27000,1.08,29160,"No",""
2018,"Technology","University of Santos Tomas","Male",25000,1.136,28400,"No",""
2011,"Accounting","N/A (Unspecified)","Male",9000,1.365,12285,"No",""
2017,"Advertising","Ateneo de Manila University","Male",23000,1.168,26864,"No",""
2015,"Finance","Polytechnic University of the Philippines - Manila","Male",20000,1.191,23820,"No",""
2017,"Finance","University of Santos Tomas","Female",20000,1.168,23360,"No",""
2019,"Manufacturing","N/A (Unspecified)","Female",15000,1.08,16200,"No",""
2018,"Technology","Mapua University - Intramuros","Male",25000,1.136,28400,"No",""
2010,"Advertising","University of the Philippines - Diliman","Female",8000,1.417,11336,"No","As a fresh grad i didn't know you can negotiate and I was just really desperate to get one because of pressure."
2019,"Government","Ateneo de Manila University","Female",24000,1.08,25920,"No",""
2019,"Media and Communication","De La Salle University - Manila","Female",17500,1.08,18900,"No","My job was meant for three people but they paid me one person's measly salary. Tbh it was so low i blocked it from my mind I almost forgot how much it was. Makati pa yung location where everything costs an arm and a limb.
They said they couldn't offer me higher than that because it was my first job. Which I think is wrong and exploitative. "
2016,"Utilities","University of the Philippines - Diliman","Male",20500,1.183,24251.5,"No","The company I worked for gives 16 months of guaranteed salary"
2016,"Technology","University of Santos Tomas","Male",25000,1.183,29575,"No",""
2019,"Marketing","Other universities","Female",24000,1.08,25920,"No","This pay was purely for design/mockup tasks. No coding involved."
2019,"Other industries","University of the Philippines - Los Baños","Female",25000,1.08,27000,"No",""
2017,"Finance","Ateneo de Manila University","Female",25000,1.168,29200,"Yes","The 25,000/month was 16 months pay (annual salary of 400,000). After a year of training, I was promoted, and got a raise to an annual salary of 560,000 + 1.5 months worth of Profit Share / Bonus."
2020,"Advertising","Ateneo de Manila University","Female",22000,1.053,23166,"No","I did not choose my salary, they gave it to me."
2015,"Utilities","University of the Philippines - Diliman","Female",48000,1.191,57168,"No",""
2019,"Real Estate","N/A (Unspecified)","Not specified/Unclear",25000,1.08,27000,"No",""
2013,"Technology","University of the Philippines - Diliman","Male",32000,1.265,40480,"Yes","I was a founding employee of a startup with funding from international investors"
2010,"Technology","University of Santos Tomas","Male",23000,1.417,32591,"No",""
2016,"Accounting","University of Santos Tomas","Male",16500,1.183,19519.5,"No",""
2016,"Technology","De La Salle University - Manila","Female",22000,1.183,26026,"No","Fresh grad with no experience"
2019,"Utilities","Other universities","Female",26500,1.08,28620,"No",""
2004,"Academe & Education","FEU System University","Female",7000,1.938,13566,"No","Per head basis—one’s salary depends on the number of students. Less students=less pay"
2014,"Retail","Ateneo de Manila University","Female",12500,1.234,15425,"Yes","They decided to give me a 40% raise after 6 months or so."
2018,"Architecture","University of the Philippines - Diliman","Male",12000,1.136,13632,"No",""
2016,"Academe & Education","University of Santos Tomas","Female",20000,1.183,23660,"No","My salary was computed based on my credentials. It was the basic pay for all fresh graduates like me, with no Latin honor. It was computed based on a ranking system applied by the school."
2019,"Media and Communication","Other universities","Male",20000,1.08,21600,"No",""
2019,"Real Estate","N/A (Unspecified)","Not specified/Unclear",25000,1.08,27000,"Unspecified",""
2019,"Academe & Education","University of Santos Tomas","Female",20500,1.08,22140,"No",""
2019,"Business Process Outsourcing","Other universities","Female",20000,1.08,21600,"No","I’ve always wanted to try working on a BPO industry. "
2015,"Technology","Other universities","Male",14750,1.191,17567.25,"No",""
2018,"Research","Ateneo de Manila University","Female",22000,1.136,24992,"No",""
2014,"Finance","Ateneo de Manila University","Male",35000,1.234,43190,"Yes","I negotiated because I had a competing offer and I also knew what a friend, who started in the same department, was offered."
2017,"Academe & Education","Other universities","Female",8000,1.168,9344,"No",""
2019,"Media and Communication","University of Santos Tomas","Male",20000,1.08,21600,"No",""
2018,"Finance","University of Santos Tomas","Female",12000,1.136,13632,"No","I was initially offered 18k/month contract of 4months by the supervisor i was going to work for (also a friend). But then during the whole process, i was told by the hr that 18k was still for discussion then ultimately ended up with 12k. didnt negotiate cause i thought what the heck maybe i couldnt; and hey, it was still money. Looking back now, i really regret it"
2017,"Business Process Outsourcing","Other universities","Female",20000,1.168,23360,"No",""
2016,"Food","University of Santos Tomas","Female",12288,1.183,14536.704,"No",""
2016,"Government","UP System University","Female",24000,1.183,28392,"No",""
2020,"Utilities","University of the Philippines - Diliman","Female",40000,1.053,42120,"No",""
2018,"Healthcare","FEU System University","Female",10240,1.136,11632.64,"No",""
2018,"Business Process Outsourcing","UP System University","Male",12000,1.136,13632,"No",""
2015,"Government","De La Salle University - Manila","Female",17000,1.191,20247,"No",""
2018,"Finance","Other universities","Female",13000,1.136,14768,"Yes",""
2019,"Media and Communication","Other universities","Female",20000,1.08,21600,"Yes","I am a previous intern from this company and continue as a regular employee after our evaluation before the my internship term ends. I am in this position not because of what I can do but I think it is about the trust and camaraderie I build while I am in an ""under observation"" state in our company. It is most of the time about your soft skills that can help you survive in the industry you are entering when you are transitioning from college to fully being a young adult. "
2019,"Research","University of the Philippines - Diliman","Not specified/Unclear",22000,1.08,23760,"No",""
2012,"Manufacturing","FEU System University","Female",11891,1.3014,15474.9474,"No",""
2018,"Academe & Education","De La Salle University - Manila","Not specified/Unclear",14509,1.136,16482.224,"No",""
2017,"Technology","Other universities","Female",17000,1.168,19856,"No",""
2011,"Media and Communication","University of the Philippines - Diliman","Female",10000,1.365,13650,"No",""
2017,"Technology","Polytechnic University of the Philippines - Manila","Male",20000,1.168,23360,"No",""
2017,"Construction and Engineering","Other universities","Female",11000,1.168,12848,"No","I was so desperate to have a job so I accepted the offer even if it was below minimum wage in Manila"
2018,"Retail","De La Salle University - Manila","Female",40000,1.136,45440,"Yes",""
2017,"Marketing","University of the Philippines - Los Baños","Female",10000,1.168,11680,"No",""
2018,"Manufacturing","UP System University","Female",22000,1.136,24992,"No",""
2013,"Academe & Education","Ateneo de Manila University","Female",19000,1.265,24035,"No","-"
2016,"Government","Ateneo de Manila University","Male",16500,1.183,19519.5,"No",""
2019,"Business Process Outsourcing","Other universities","Female",11158.33,1.08,12050.9964,"Yes","I just go shocked when I got my first paycheck. "
2012,"Technology","Mapua University - Intramuros","Male",26000,1.3014,33836.4,"No",""
2016,"Arts and Design","Other universities","Female",15000,1.183,17745,"No","It was take it or leave it kind of situation, eh since it was my first job and maganda yung company name sa resume, i accepted it lol."
2014,"Construction and Engineering","University of the Philippines - Diliman","Male",17000,1.234,20978,"No","17000 was the gross salary (witholding tax, deductions from SSS, PAG-IBIG, Philhealth not included yet)"
2017,"Retail","UP System University","Female",25000,1.168,29200,"No","I was scared to negotiate as I know the position was not an entry-level, not generally allowed for fresh grads. "
2019,"Research","University of the Philippines - Diliman","Male",30000,1.08,32400,"Yes","I was initially offered 20k"
2018,"Non-Government Organization","Other universities","Female",19000,1.136,21584,"No",""
2018,"Real Estate","University of Santos Tomas","Male",18000,1.136,20448,"No",""
2018,"Real Estate","University of Santos Tomas","Male",18000,1.136,20448,"No",""
2016,"Consulting","Other universities","Male",15000,1.183,17745,"No","Thank you for this!!! Let’s make the industry feel uncomfortable they should give better starting salaries"
2020,"Healthcare","Other universities","Female",12000,1.053,12636,"No",""
2017,"Food","UP System University","Female",9000,1.168,10512,"No",""
2019,"Business Process Outsourcing","University of the Philippines - Diliman","Male",18000,1.08,19440,"No","salary was non negotiable"
2011,"Media and Communication","University of the Philippines - Diliman","Female",20000,1.365,27300,"No","We were explicitly instructed not to talk about our salary with our fellow producers. Apparently we were offered different salaries."
2019,"Healthcare","Other universities","Female",13000,1.08,14040,"No","Job salary was non negotiable as per Head Nurse. It was not the HR person that did the job interview, it was the Head Nurse."
2018,"Advertising","Other universities","Female",25000,1.136,28400,"No","Already accepted a job offer in another pr agency but prefers creative. First Job Offer was 25,000 then they matched it."
2016,"Architecture","University of the Philippines - Diliman","Female",12500,1.183,14787.5,"No",""
2019,"Manufacturing","Ateneo de Manila University","Male",50000,1.08,54000,"No","It's a Management Trainee program, so companies usually offer high compensation packages. Wouldn't be surprised if other MTs make as much or even more

Because of that, I think it's prudent for the ones conducting the study to account for how much average salaries might skew because of the existence of Management Trainee programs, as well as the up to 6-figure first paychecks of some companies"
2014,"Non-Government Organization","Ateneo de Manila University","Female",13000,1.234,16042,"Yes",""
2015,"Finance","N/A (Unspecified)","Not specified/Unclear",11000,1.191,13101,"No",""
2017,"Technology","Polytechnic University of the Philippines - Manila","Not specified/Unclear",20000,1.168,23360,"No",""
2019,"Marketing","N/A (Unspecified)","Female",15000,1.08,16200,"No","I was just hired because of my extra curricular outside the school and I already know personally my boss so I accept the offer."
2019,"Government","Ateneo System University","Female",13650,1.08,14742,"No","My salary is that amount after I got an eligibility but before without one my salary is 10,500 pesos a month"
2019,"Marketing","Other universities","Male",20000,1.08,21600,"No",""
2018,"Research","Polytechnic University of the Philippines - Manila","Male",20000,1.136,22720,"Yes",""
2018,"Manufacturing","Other universities","Female",15000,1.136,17040,"Unspecified",""
2017,"Real Estate","Mapua University - Intramuros","Female",15000,1.168,17520,"No",""
2018,"Manufacturing","De La Salle University - Manila","Male",60000,1.136,68160,"No",""
2013,"Human Relations","Other universities","Female",11147,1.265,14100.955,"No",""
2019,"Technology","N/A (Unspecified)","Not specified/Unclear",26000,1.08,28080,"Unspecified",""
2015,"Construction and Engineering","University of the Philippines - Diliman","Female",15000,1.191,17865,"No","Architectural internship is taken after graduating from college but before you can take the board exam."
2017,"Healthcare","University of Santos Tomas","Female",10000,1.168,11680,"No","Was told I'd have to start minimum wage since it was my first full time job with no prev experience. Wasn't sure I could negotiate anymore when they say that. "
2019,"Other industries","UP System University","Male",20000,1.08,21600,"No",""
2016,"Media and Communication","Other universities","Female",12000,1.183,14196,"No",""
2013,"Manufacturing","University of the Philippines - Los Baños","Female",13000,1.265,16445,"Yes","I negotiated if I can be paid at least 14k, 1k higher than offered. I was told I don't have a prc license yet so my request was denied. The role does not require a license. "
2017,"Finance","Other universities","Female",15000,1.168,17520,"No",""
2019,"Architecture","University of Santos Tomas","Male",15000,1.08,16200,"No","The starting salary offered to me was a thousand more than my expected minimum. But during the time, I was not completely aware on how to rightfully assess how much I should ask, especially since as a fresh graduate junior architect, we still have 2 years of needed experience to take the boards and have a license. It turned out that I sold myself short, considering I have a good resume. I later on found a new job with better pay after 2 months there."
2019,"Logistics","University of the Philippines - Diliman","Not specified/Unclear",33000,1.08,35640,"No",""
2018,"Finance","Polytechnic University of the Philippines - Manila","Female",17000,1.136,19312,"No","I graduated Cum Laude and my basic salary is only 13,729. Still unmotivated to resign and find another job since the traffic in edsa keeps getting worse. I work close to home, which saves me a lot of time and money din."
2019,"Academe & Education","Polytechnic University of the Philippines - Manila","Male",15000,1.08,16200,"Yes","Basic pay is basic pay need ng MA para tumaas yung sahod. Kaya inaccept ko na lang."
2019,"Finance","De La Salle University - Manila","Female",55000,1.08,59400,"No",""
2017,"Healthcare","Other universities","Female",30000,1.168,35040,"No",""
2019,"Media and Communication","De La Salle University - Manila","Female",15000,1.08,16200,"No",""
2013,"Logistics","Other universities","Female",11147,1.265,14100.955,"No","Desperate to have work experience prior graduation so I did not negotiate at that time. "
2011,"Finance","University of the Philippines - Los Baños","Male",10300,1.365,14059.5,"No",""
2016,"Retail","Other universities","Male",15000,1.183,17745,"No",""
2019,"Other industries","Ateneo System University","Male",21953,1.08,23709.24,"No",""
2016,"Media and Communication","University of Santos Tomas","Female",18000,1.183,21294,"No",""
2019,"Other industries","Other universities","Female",11000,1.08,11880,"No",""
2019,"Technology","Mapua University - Intramuros","Male",30000,1.08,32400,"No","Basic Salary 21k+, with allowances totalling to 30k. Told them I expected 25k salary at interviews"
2017,"Food","UP System University","Female",16000,1.168,18688,"No",""
2017,"Business Process Outsourcing","Polytechnic University of the Philippines - Manila","Female",17000,1.168,19856,"No",""
2019,"Transportation","Other universities","Male",15000,1.08,16200,"No",""
2018,"Other industries","University of the Philippines - Los Baños","Female",34000,1.136,38624,"No","My job required us to assist municipalities in generating plans. Normally our starting is 25k-30k without tax. We also had free accomodation and sometimes free boat tickets or airplane tickets. "
2020,"Technology","UP System University","Female",30000,1.053,31590,"No",""
2018,"Utilities","University of the Philippines - Diliman","Male",34000,1.136,38624,"No",""
2018,"Telecomumunications","Other universities","Female",30000,1.136,34080,"No",""
2019,"Finance","Pamantasan ng Lungsod ng Manila","Female",19400,1.08,20952,"No",""
2017,"Technology","University of the Philippines - Diliman","Female",25000,1.168,29200,"No",""
2018,"Accounting","Other universities","Female",19000,1.136,21584,"No",""
2017,"Business Process Outsourcing","N/A (Unspecified)","Male",15000,1.168,17520,"No",""
2016,"Advertising","Ateneo System University","Female",18500,1.183,21885.5,"No",""
2016,"Other industries","Other universities","Not specified/Unclear",24000,1.183,28392,"No","I asked for 20k, they gave me more"
2017,"Accounting","Other universities","Female",20000,1.168,23360,"No",""
2017,"Manufacturing","University of the Philippines - Diliman","Male",20000,1.168,23360,"Yes","Aside from my basic salary, I also had the ff.:
-Additional monthly allowance ~2k (rice subsidy)
-Half-year company bonuses (profit sharing) as well as end of the year bonus, on top of government-mandated 13th month
-Yearly lifestyle allowance
-HMO coverage
-Company car assignment, with fuel allowance
-Fully-reimbursable company expenses (including parking everyday in BGC)

I settled with that salary because the benefits were great, and the position was not related to my course."
2018,"Government","Ateneo de Manila University","Not specified/Unclear",16000,1.136,18176,"Yes","I was asking if I could have a larger salary but they said that it was already budgeted so they couldn't really adjust it too much."
2017,"Manufacturing","University of the Philippines - Diliman","Female",24000,1.168,28032,"No",""
2017,"Consulting","Ateneo de Manila University","Female",31000,1.168,36208,"No",""
2015,"Technology","University of the Philippines - Diliman","Female",28000,1.191,33348,"No","Taxes and benefits (SSS, Pag-ibig) not yet deducted"
2018,"Startup","Other universities","Male",16500,1.136,18744,"Yes","I worked in Region III"
2018,"Other industries","University of Santos Tomas","Female",13500,1.136,15336,"No","I was a fresh grad & was very eager to get a job so even if I got this salary, I accepted it. I live in Rizal, my job’s in BGC. This is a multinational company. "
2019,"Manufacturing","University of the Philippines - Diliman","Male",49500,1.08,53460,"No",""
2019,"Business Process Outsourcing","University of the Philippines - Diliman","Female",27000,1.08,29160,"No","P25000 of my salary is taxable"
2015,"Utilities","University of the Philippines - Diliman","Male",33500,1.191,39898.5,"Yes",""
2016,"Manufacturing","University of the Philippines - Diliman","Female",25000,1.183,29575,"No","Entry level work but other employees with same rank are earning more than me"
2019,"Finance","Polytechnic University of the Philippines - Manila","Male",29000,1.08,31320,"No",""
2016,"Finance","University of the Philippines - Los Baños","Female",25000,1.183,29575,"No","Not applicable"
2015,"Academe & Education","Other universities","Female",20000,1.191,23820,"No",""
2019,"Non-Government Organization","UP System University","Female",21000,1.08,22680,"Yes",""
2014,"Non-Government Organization","University of Santos Tomas","Female",15000,1.234,18510,"No",""
2019,"Technology","Other universities","Male",16000,1.08,17280,"No",""
2018,"Other industries","Other universities","Male",15500,1.136,17608,"No",""
2019,"Non-Government Organization","Ateneo de Manila University","Female",21000,1.08,22680,"No",""
2019,"Accounting","University of Santos Tomas","Female",20700,1.08,22356,"No","I received a signing bonus of 5k because of my school"
2015,"Manufacturing","Other universities","Male",13500,1.191,16078.5,"No",""
2017,"Media and Communication","University of the Philippines - Diliman","Female",18000,1.168,21024,"Yes",""
2018,"Advertising","Ateneo System University","Male",18000,1.136,20448,"Yes","Had zero experience except for school org roles but generally, I had the biggest basic py for the newbies. Asked them what they told the HR their expected pay would be during the interview - all of them said “kamo ra bahala” (it’s up to you) so I guess that’s a contributing factor? Unsure."
2011,"Technology","UP System University","Female",15000,1.365,20475,"No","It was my first job offer and I grabbed it right away. I was the breadwinner. "
2017,"Architecture","University of Santos Tomas","Female",12000,1.168,14016,"No","No benefits, delayed regularization after 9 months"
2016,"Accounting","De La Salle University - Manila","Female",18500,1.183,21885.5,"No",""
2006,"Technology","Other universities","Male",15000,1.736,26040,"No",""
